clientID,Type,age,gender,Dependent_count,Educational_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_count,Month_Inactive_12_month,Contacts_count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Average_Utilization_Ratio,geography
ID_000001,Gold,68,M,4,Graduate,Divorced,$80K - $120K,Silver,53,4,3,0,1000,8006,8545,3815.61,12565,194,-36.18,0.55,Canada
ID_000002,Platinum,57,M,4,Graduate,Married,$60K - $80K,Platinum,21,4,2,9,10000,6858,13114,3151.92,2519,143,102.29,0.438,UK
ID_000003,Premium,24,M,5,Uneducated,Unknown,$60K - $80K,Blue,28,2,0,8,15000,6058,13623,3431.33,32946,26,-3.97,0.93,Canada
ID_000004,Gold,49,M,4,Uneducated,Unknown,$120K+,Silver,50,4,1,7,1000,8567,2756,2543.11,4186,16,92.34,0.987,Canada
ID_000005,Gold,65,F,5,Unknown,Single,$80K - $120K,Blue,3,3,2,4,2000,6007,8306,-511.8,36017,144,98.44,0.814,USA
ID_000006,Platinum,36,M,5,Unknown,Unknown,$60K - $80K,Silver,45,2,5,2,5000,820,18966,4280.17,27024,67,111.15,0.63,USA
ID_000007,Premium,23,M,4,Graduate,Divorced,$120K+,Platinum,10,1,4,9,2000,5815,14374,3188.88,38316,5,-6.52,0.77,UK
ID_000008,Premium,37,F,1,Unknown,Unknown,$120K+,Silver,17,3,0,1,2000,4290,3656,3739.34,27322,83,-19.31,0.824,Canada
ID_000009,Gold,44,F,4,Unknown,Single,$60K - $80K,Silver,35,5,0,8,7500,2411,15202,4645.57,27051,199,14.83,0.236,Canada
ID_000010,Standard,70,M,1,Uneducated,Single,Less than $40K,Gold,21,5,2,2,1000,546,19317,4808.8,11881,65,86.91,0.4,USA
ID_000011,Gold,60,F,2,High School,Unknown,Less than $40K,Gold,9,3,5,3,1000,384,12908,4780.94,9333,116,139.79,0.922,Canada
ID_000012,Gold,54,F,4,Post-Graduate,Divorced,$40K - $60K,Blue,17,4,0,5,2000,9152,12396,617.52,31535,56,84.37,0.273,UK
ID_000013,Gold,65,M,2,Post-Graduate,Married,Less than $40K,Gold,32,4,0,4,10000,5088,7364,4109.73,43037,116,146.22,0.858,Canada
ID_000014,Gold,24,F,4,Unknown,Divorced,Less than $40K,Silver,48,4,0,5,5000,2073,16653,4751.98,32867,138,74.55,0.573,Canada
ID_000015,Platinum,76,M,2,Unknown,Divorced,$120K+,Gold,38,5,2,1,7500,3946,10322,3237.92,6929,33,142.52,0.679,UK
ID_000016,Premium,22,M,3,Post-Graduate,Divorced,$120K+,Platinum,28,3,4,4,5000,4719,11913,3295.53,44907,109,94.82,0.809,Canada
ID_000017,Platinum,28,F,2,Uneducated,Unknown,$60K - $80K,Gold,18,4,5,3,15000,6754,3760,4305.19,9107,3,18.38,0.905,UK
ID_000018,Platinum,32,M,1,Post-Graduate,Married,$60K - $80K,Blue,6,2,0,0,5000,2236,4660,725.29,37307,46,86.11,0.632,UK
